epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7327,3.45499,3.75676,1.96704,0.005,0.04478,0.01754,0.00218,3.54472,3.65728,1.64836,0.00016,0.00016,0.00016
2,26,3.18114,3.44418,1.50228,0.01167,0.10448,0.00647,0.0018,3.30926,3.57901,1.5876,0.000336634,0.000336634,0.000336634
3,37.8449,2.93401,2.93628,1.39444,0.01667,0.14925,0.01331,0.00247,3.33657,3.5186,1.53882,0.000509704,0.000509704,0.000509704
4,49.8737,2.90059,2.61061,1.33281,0.01833,0.16418,0.0113,0.00256,3.24852,3.36944,1.33092,0.00067921,0.00067921,0.00067921
5,61.6821,2.78169,2.31311,1.3374,0.01167,0.10448,0.00886,0.00254,2.93903,3.17351,1.42659,0.000845152,0.000845152,0.000845152
6,73.3528,2.62288,2.07467,1.28847,0.025,0.22388,0.06897,0.01648,3.14149,2.96959,1.42545,0.00100753,0.00100753,0.00100753
7,85.353,2.6966,2.02715,1.29665,0.035,0.31343,0.06941,0.02331,2.92792,2.76185,1.37286,0.00116634,0.00116634,0.00116634
8,97.304,2.58214,1.99445,1.28681,0.06,0.53731,0.10431,0.03085,2.86491,2.58932,1.27943,0.00132159,0.00132159,0.00132159
9,109.374,2.52004,1.85022,1.23947,0.06,0.53731,0.06938,0.01766,2.92767,2.59968,1.25775,0.00147328,0.00147328,0.00147328
10,121.279,2.52105,1.90314,1.23544,0.14329,0.07463,0.05137,0.01192,3.08209,2.57675,1.34938,0.0016214,0.0016214,0.0016214
11,133.087,2.49365,1.89092,1.28874,0.23391,0.16406,0.12238,0.02434,2.91291,2.40409,1.39337,0.00176596,0.00176596,0.00176596
12,144.951,2.50352,1.85592,1.26292,0.10884,0.22388,0.0693,0.02196,2.85795,2.40575,1.34783,0.0017822,0.0017822,0.0017822
13,156.875,2.44438,1.78846,1.22728,0.21455,0.29851,0.21517,0.06261,2.7155,1.99745,1.46084,0.0017624,0.0017624,0.0017624
